Country,State,Year,Food Grains Allocated (UOM:MT(Metrictonne)),Ration Cards Issued (UOM:Number),Transaction For Ration Cards (UOM:Number),Aadhaar Authenticated Transactions (UOM:Number),Aadhaar Authenticated Transactions (%) (UOM:%(Percentage)),Epos (Electronic Point Of Sale System) Distribution Of Food Grains (UOM:MT(Metrictonne)),Manual Distribution Of Food Grains (UOM:MT(Metrictonne)),Distribution Of Food Grains (UOM:MT(Metrictonne))
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",126.85,13587,2,0,0,0.02,0,0.02
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",144959.47,5675205,5776097,256252,4.44,133911.7,0,133911.7
India,Maharashtra,"Calendar Year (Jan - Dec), 2021",383766,15672301,13622118,13622118,100,337649.29,0,337649.29
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2018",38927.63261,1630830.811,1041248.797,116597.8847,11.2,24562.64215,12441.89075,37004.52312
India,Goa,"Calendar Year (Jan - Dec), 2019",2856.63,141399,107619,107619,100,2302.01,496.67,2798.68
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",297039.11,10850067,9800491,9381883,95.73,242277.39,303.74,242581.13
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2020",16857.47,679433,644169,0,0,26154.26,1119.16,27273.42
India,Delhi,"Calendar Year (Jan - Dec), 2019",37572.75,1734718,0,0,0,0,34332.32,34332.32
India,Tripura,"Calendar Year (Jan - Dec), 2021",13761.1,589203,612010,606117,99.04,13340.03,0,13340.03
India,Jharkhand,"Calendar Year (Jan - Dec), 2021",144959.47,5844798,3048661,2873966,94.27,126171.44,0,126171.44
India,West Bengal,"Calendar Year (Jan - Dec), 2020",330516.44,55598670,20158549,21722,0.11,304889.17,24270.29,329159.47
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",232631,11096886,9442766,9441142,99.98,226109.88,0,226109.88
India,Kerala,"Calendar Year (Jan - Dec), 2019",85459.89,3658195,3788062,3689459,97.4,81396.93,105.83,81502.76
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",16857.47,685331,512444,2781,0.54,11693.76,3299.59,14993.35
India,Gujarat,"Calendar Year (Jan - Dec), 2020",198288.02,6886974,6563098,3960875,60.35,171523.74,0,171523.74
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",10800.27,421505,12221,1,0.01,326.38,9602.17,9928.55
India,Nagaland,"Calendar Year (Jan - Dec), 2020",7632.11,282076,98929,41628,42.08,2555.87,6441.69,8997.57
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",154148.03,8331597,8319279,8319279,100,143366.64,0,143366.64
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",144959.47,5713577,4981451,4038430,81.07,139264.71,0,139264.71
India,Karnataka,"Calendar Year (Jan - Dec), 2021",217403,12032692,2756303,2756303,100,48588.25,0,48588.25
India,Haryana,"Calendar Year (Jan - Dec), 2018",66250,2656843,2596528,2596528,100,53712.35,0,53712.35
India,Mizoram,"Calendar Year (Jan - Dec), 2018",3827.96,146020,0,0,0,0,4137.59,4137.59
India,Haryana,"Calendar Year (Jan - Dec), 2020",66250,2700299,2965587,2965587,100,60635.81,0,60635.81
India,Telangana,"Calendar Year (Jan - Dec), 2019",108004.23,4979403,4590872,4590872,100,94988.25,1039.22,96027.47
India,Telangana,"Calendar Year (Jan - Dec), 2020",108004.23,5352384,4668623,4668623,100,98470.98,666.61,99137.59
India,Karnataka,"Calendar Year (Jan - Dec), 2021",217403,12043560,10634455,10634455,100,189000.67,533.56,189534.24
India,Gujarat,"Calendar Year (Jan - Dec), 2018",198288.02,7200665,6482773,10652,0.16,179033.27,0,179033.27
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",811798.34,33399501,5469010,4010187,73.33,131149.8,1393703.77,1524853.57
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2020",1380.93,55830,50343,45027,87.68197068,1237.87,0,1237.87
India,Punjab,"Calendar Year (Jan - Dec), 2019",72510,3555040,491338,491338,100,59134.41,0,59134.41
India,Delhi,"Calendar Year (Jan - Dec), 2018",37572.75,1695478,0,0,0,0,32961.98,32961.98
India,Mizoram,"Calendar Year (Jan - Dec), 2019",3827.96,147510,0,0,0,0,4112.15,4112.15
India,Odisha,"Calendar Year (Jan - Dec), 2020",179926.06,9261750,9268324,0,0,183324.2,0,183324.2
India,Mizoram,"Calendar Year (Jan - Dec), 2021",3827.96,158608,148413,111070,74.84,3711.5,0,3711.5
India,Gujarat,"Calendar Year (Jan - Dec), 2020",198288.02,6535401,6238138,5795892,92.91,157177.83,0,157177.83
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2018",811798.34,33317429,5540098,3882827,70.09,131096.74,2484367.22,2615463.96
India,Bihar,"Calendar Year (Jan - Dec), 2018",457821.73,49278,40580,21770,53.65,1234.8,425289.98,426524.77
India,Ladakh,"Calendar Year (Jan - Dec), 2018",870.4173886,36465.18938,23282.20335,2607.115294,11.2,549.2178537,278.1992465,827.4168815
India,Delhi,"Calendar Year (Jan - Dec), 2017",37572.75,0,67929,67929,100,1419.4,0,1419.4
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2021",451.98,60195,47478,47478,100,1181.36,0,1181.36
India,Odisha,"Calendar Year (Jan - Dec), 2018",179926.06,8626910,11766300,3050738,25.93,169926.77,0,169926.77
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2021",16857.47,710358,676553,596593,88.18,15271.37,90.16,15361.53
India,Haryana,"Calendar Year (Jan - Dec), 2018",66250,2651236,2470859,2470859,100,51868.55,0,51868.55
India,West Bengal,"Calendar Year (Jan - Dec), 2019",330516.44,53569689,16016492,0,0,239921.88,88620.58,328542.46
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2020",451.98,55620,52782,52782,100,1277.45,0,1277.45
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",383766,14657370,12685104,12685104,100,315960.95,8345.34,324306.29
India,Kerala,"Calendar Year (Jan - Dec), 2017",85459.89,311894,0,0,0,0,7779.98,7779.98
India,Karnataka,"Calendar Year (Jan - Dec), 2017",217403,10895069,7859677,6254535,79.58,238.32,0,238.32
India,Delhi,"Calendar Year (Jan - Dec), 2018",37572.75,1945776,1333132,1333132,100,27623.34,190.59,27813.93
India,Sikkim,"Calendar Year (Jan - Dec), 2018",2197.94,147578,26032,26032,100,665.5,1851.98,2517.48
India,Odisha,"Calendar Year (Jan - Dec), 2019",179926.06,8666577,12132045,9131486,75.27,165789.52,2099.71,167889.22
India,Ladakh,"Calendar Year (Jan - Dec), 2017",870.4173886,809.6153176,0.284321118,0,0,0,0,0
India,Punjab,"Calendar Year (Jan - Dec), 2018",72510,3515987,2073870,2073870,100,252695.73,0,252695.73
India,Bihar,"Calendar Year (Jan - Dec), 2018",457821.73,17076321,0,0,0,0,428362.14,428362.14
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",4677.46,117836,5382,1484,27.57,420.21,3603.97,4024.18
India,Gujarat,"Calendar Year (Jan - Dec), 2019",198288.02,6646353,6240479,4896298,78.46,165756.41,0,165756.41
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",115338,5282952,5160981,589484,11.42,114276.13,1734.1,116010.22
India,West Bengal,"Calendar Year (Jan - Dec), 2019",330516.44,56343599,0,0,0,0,328977.22,328977.22
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",1380.93,57434,52319,45255,87.06521738,1193.04,0,1193.04
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",38927.63261,1611679.042,1466515.874,1807.58266,0.12,34584.97396,1012.09957,35597.07353
India,Nagaland,"Calendar Year (Jan - Dec), 2019",7632.11,284934,0,0,0,0,7616.71,7616.71
India,Meghalaya,"Calendar Year (Jan - Dec), 2018",10800.27,401378,0,0,0,0,10425.57,10425.57
India,Tripura,"Calendar Year (Jan - Dec), 2018",13761.1,587446,523194,523194,100,12069.26,1593.5,13662.77
India,Maharashtra,"Calendar Year (Jan - Dec), 2019",383766,15040958,13153276,13153276,100,327034.39,5072.4,332106.79
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2017",297039.11,11410762,8005002,1233017,15.4,153196.19,0,153196.19
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",144959.47,5719048,4876090,4187980,85.89,133994.27,0,133994.27
India,Delhi,"Calendar Year (Jan - Dec), 2019",37572.75,1431521,0,0,0,0,29466.88,29466.88
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2018",202114.13,10013150,10111871,0,0,193185.67,0,193185.67
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",232631,10836219,9744937,9744561,100,228684.39,406.05,229090.44
India,Mizoram,"Calendar Year (Jan - Dec), 2017",3827.96,35097,0,0,0,0,1038.89,1038.89
India,Karnataka,"Calendar Year (Jan - Dec), 2021",217403,12059913,10878513,10878511,100,190253.91,403.12,190657.03
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2021",811798.34,35848247,33127013,32729231,98.8,768568.34,22.6,768590.94
India,Telangana,"Calendar Year (Jan - Dec), 2018",108004.23,5192173,8601005,8601005,100,92693.55,1017.98,93711.53
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",38927.63261,1638210.795,276756.7509,220.0790576,0.08,6479.000298,28334.74829,34813.74859
India,Tripura,"Calendar Year (Jan - Dec), 2018",13761.1,836199,19358,19358,100,418.46,15379.56,15798.02
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",232631,10590069,8667127,7969295,91.95,194106.81,0,194106.81
India,Karnataka,"Calendar Year (Jan - Dec), 2019",217403,12464522,10710574,10710537,100,192801.34,7226.59,200027.93
India,Assam,"Calendar Year (Jan - Dec), 2018",135479.33,34431,15334,0,0,322.57,136122.04,136444.61
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2019",332.7,14681,13385,0,0,244.63,24.88,269.51
India,Haryana,"Calendar Year (Jan - Dec), 2019",66250,2697682,2711385,2711385,100,56450.65,0,56450.65
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",144959.47,5713865,4885042,4191599,85.8,134603.56,0,134603.56
India,Telangana,"Calendar Year (Jan - Dec), 2019",108004.23,4979403,4698874,4698874,100,96571.54,1040.88,97612.42
India,Punjab,"Calendar Year (Jan - Dec), 2017",72510,99007,9282,9282,100,1111.14,0,1111.14
India,Kerala,"Calendar Year (Jan - Dec), 2021",85459.89,3838504,4109835,3894241,94.75,83109.93,97.87,83207.8
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",115338,5282952,5292182,507525,9.59,112526.33,1670.83,114197.15
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2019",1380.93,55667,47137,43346,90.74283164,1179.19,0,1179.19
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",154148.03,9448288,8815814,8815814,100,142686.11,2637.89,145324
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",16857.47,680201,506803,101421,20.01,4885.15,2278.69,7163.84
India,Bihar,"Calendar Year (Jan - Dec), 2019",457821.73,24639,20706,13089,63.21,625.57,439274.86,439900.43
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",4677.46,177121,15525,0,0,416.7,4313.96,4730.66
India,Odisha,"Calendar Year (Jan - Dec), 2019",179926.06,8687094,7950599,4717744,59.34,167842.36,14670.36,182512.73
India,West Bengal,"Calendar Year (Jan - Dec), 2021",330516.44,55560480,19471940,100,0,320011.65,109.4,320121.05
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2020",297039.11,10972373,11390062,10789480,94.73,268638.89,700.29,269339.18
India,Rajasthan,"Calendar Year (Jan - Dec), 2017",232631,9956109,14817337,14815035,99.98,180645.7,0,180645.7
India,West Bengal,"Calendar Year (Jan - Dec), 2018",330516.44,56334830,0,0,0,0,328977.89,328977.89
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2020",4677.46,179700,26240,0,0,729.93,3649.81,4379.73
India,Ladakh,"Calendar Year (Jan - Dec), 2020",870.4173886,36036.95804,32791.12629,40.4173404,0.12,773.3160405,22.63043,795.9464705
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2021",154148.03,8933949,8160184,8160184,100,134193.35,0,134193.35
India,Kerala,"Calendar Year (Jan - Dec), 2020",85459.89,3796092,4203952,3995071,95.03,82930.58,92.37,83022.95
India,Assam,"Calendar Year (Jan - Dec), 2018",135479.33,30906,15117,0,0,340.75,139072.65,139413.4
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2017",154148.03,9620690,8793643,8793643,100,143734.2,0,143734.2
India,Sikkim,"Calendar Year (Jan - Dec), 2020",2197.94,94638,50475,29313,58.07,1298.05,1060.51,2358.56
India,Nagaland,"Calendar Year (Jan - Dec), 2021",7632.11,304217,241475,46546,19.28,5459.32,0,5459.32
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",154148.03,8440848,15765529,15765529,100,140239.11,0,140239.11
India,Assam,"Calendar Year (Jan - Dec), 2020",135479.33,5787677,0,0,0,0,139324.64,139324.64
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",10800.27,421501,0,0,0,0,11696.35,11696.35
India,Bihar,"Calendar Year (Jan - Dec), 2017",457821.73,24491,14874,7643,51.38,122.89,0,122.89
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",811798.34,36028055,31028961,28096555,90.55,694287.63,7431.26,701718.88
India,Manipur,"Calendar Year (Jan - Dec), 2019",12461.24,564100,0,0,0,0,12920.68,12920.68
India,Goa,"Calendar Year (Jan - Dec), 2021",2856.63,142341,137215,132796,96.78,2851.68,0,2851.68
India,Goa,"Calendar Year (Jan - Dec), 2020",2856.63,142668,134187,130237,97.06,2789.17,23.75,2812.92
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2018",332.7,8911,877,0,0,13.7,0,13.7
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",4677.46,175964,8002,465,5.81,225.4,572.9,798.3
India,Gujarat,"Calendar Year (Jan - Dec), 2017",198288.02,7184576,6273659,473,0.01,63166.84,0,63166.84
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2019",1380.93,55614,48545,45060,92.65999249,1205.81,0,1205.81
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2020",811798.34,35565150,33485655,32990020,98.52,773752.23,230.22,773982.45
India,Kerala,"Calendar Year (Jan - Dec), 2019",85459.89,3568339,3930085,3772442,95.99,79981.49,104.91,80086.41
India,Karnataka,"Calendar Year (Jan - Dec), 2020",217403,12769659,11214572,11214572,100,244407.46,513.81,244921.27
India,Mizoram,"Calendar Year (Jan - Dec), 2019",3827.96,147766,0,0,0,0,4238.12,4238.12
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2019",332.7,14754,3562,0,0,56.91,85.53,142.44
India,Assam,"Calendar Year (Jan - Dec), 2019",135479.33,6255411,0,0,0,0,138582.19,138582.19
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",154148.03,9194260,8629534,8629534,100,138967.92,2809.25,141777.17
India,Ladakh,"Calendar Year (Jan - Dec), 2021",870.4173886,35145.65508,32677.15726,25007.66073,76.53,743.3523128,0,743.3523128
India,Kerala,"Calendar Year (Jan - Dec), 2018",85459.89,3388255,3369218,3070478,91.13,76981.01,127.06,77108.07
India,Bihar,"Calendar Year (Jan - Dec), 2020",457821.73,17813511,16585447,16530303,99.67,423969.94,0,423969.94
India,Ladakh,"Calendar Year (Jan - Dec), 2018",870.4173886,36465.18938,21503.90599,2330.492717,10.84,508.0684958,289.5790898,797.6475856
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",232631,10625402,8029715,8029667,100,178720.8,0,178720.8
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2020",451.98,65238,47819,47819,100,1194.22,0,1194.22
India,Mizoram,"Calendar Year (Jan - Dec), 2017",3827.96,35064,0,0,0,0,1052.23,1052.23
India,Delhi,"Calendar Year (Jan - Dec), 2020",37572.75,1530789,0,0,0,0,32216.99,32216.99
India,Ladakh,"Calendar Year (Jan - Dec), 2018",870.4173886,32984.00536,8943.714427,525.8847132,5.88,208.6927938,13.79766642,222.4904602
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2018",16857.47,687315,587573,228,0.04,13902.07,3480.38,17382.45
India,Gujarat,"Calendar Year (Jan - Dec), 2019",198288.02,6628157,6022184,5426073,90.1,159055.28,0,159055.28
India,Maharashtra,"Calendar Year (Jan - Dec), 2020",383766,15163494,14400444,14400444,100,349859.17,2190.59,352049.76
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2018",1380.93,57434,52837,46297,88.26216602,1204.51,12.93,1217.44
India,Assam,"Calendar Year (Jan - Dec), 2018",135479.33,5780419,0,0,0,0,142086.44,142086.44
India,Rajasthan,"Calendar Year (Jan - Dec), 2021",232631,10618734,9778725,9778637,100,217542.92,51.56,217594.48
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2021",202114.13,0,1,0,0,0.02,0,0.02
India,Meghalaya,"Calendar Year (Jan - Dec), 2020",10800.27,379568,0,0,0,0,10530.72,10530.72
India,Gujarat,"Calendar Year (Jan - Dec), 2018",198288.02,6675266,6028121,4769136,79.11,164162.8,0,164162.8
India,Bihar,"Calendar Year (Jan - Dec), 2018",457821.73,17301882,0,0,0,0,433790.78,433790.78
India,Delhi,"Calendar Year (Jan - Dec), 2020",37572.75,1520093,0,0,0,0,31590.44,31590.44
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2019",332.7,16349,12346,0,0,239.73,25.36,265.08
India,Lakshadweep,"Calendar Year (Jan - Dec), 2018",126.85,5148,253,0,0,4.19,0,4.19
India,Jharkhand,"Calendar Year (Jan - Dec), 2019",144959.47,5718871,4878015,4159901,85.28,134830.49,0,134830.49
India,Karnataka,"Calendar Year (Jan - Dec), 2017",217403,10471158,23237619,15491746,66.67,189.38,0,189.38
India,Bihar,"Calendar Year (Jan - Dec), 2018",457821.73,24639,19974,11776,58.96,603.98,436144.43,436748.42
India,Gujarat,"Calendar Year (Jan - Dec), 2018",198288.02,6882306,5951362,4457940,74.91,166276.93,0,166276.93
India,Tripura,"Calendar Year (Jan - Dec), 2020",13761.1,578376,661523,654833,98.99,13193.6,0,13193.6
India,Mizoram,"Calendar Year (Jan - Dec), 2018",3827.96,146307,0,0,0,0,4031.72,4031.72
India,Punjab,"Calendar Year (Jan - Dec), 2019",72510,3534825,48926,48926,100,5979.54,0,5979.54
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",33454.8,1366778,641347,106343,16.58,15138.34,12476.05,27614.39
India,Telangana,"Calendar Year (Jan - Dec), 2021",108004.23,5356120,4480491,4480491,100,95872.01,0,95872.01
India,Gujarat,"Calendar Year (Jan - Dec), 2020",198288.02,6904343,6599726,4159460,63.02,172162.74,0,172162.74
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2019",1380.93,55421,52680,40777,73.84076979,1259.73,0,1259.73
India,Ladakh,"Calendar Year (Jan - Dec), 2018",870.4173886,24630.69467,479.8028213,29.72249221,6.19,11.30307667,0,11.30307667
India,Bihar,"Calendar Year (Jan - Dec), 2020",457821.73,17646728,16246829,16139848,99.34,426186.41,0,426186.41
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",811798.34,35811577,31735069,30736360,96.85,738506.18,34492.14,772998.32
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2017",16857.47,0,0,0,0,0,0,0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2019",4677.46,174631,10031,0,0,285.77,4606.79,4892.56
India,Goa,"Calendar Year (Jan - Dec), 2020",2856.63,142343,130495,127716,97.87,2733.75,54.44,2788.19
India,Karnataka,"Calendar Year (Jan - Dec), 2018",217403,12101788,10247405,10247401,100,186952.74,10477.91,197430.65
India,Karnataka,"Calendar Year (Jan - Dec), 2021",217403,12050080,10878799,10878797,100,190304.08,466.32,190770.4
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2020",332.7,16417,2988,0,0,41.26,24.44,65.7
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2020",115338,5282952,8164431,656824,8.04,114162.36,1517.69,115680.05
India,Uttar Pradesh,"Calendar Year (Jan - Dec), 2019",811798.34,35782186,28060712,23349887,83.21,637241.66,123197.76,760439.41
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",232631,11056786,9840761,9839897,99.99,231868.61,654.54,232523.15
India,The Dadra And Nagar Haveli And Daman And Diu,"Calendar Year (Jan - Dec), 2020",451.98,55620,52640,52640,100,1277.16,0,1277.16
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",33454.8,1346578,638076,77269,12.11,15183.65,20170.57,35354.22
India,Assam,"Calendar Year (Jan - Dec), 2019",135479.33,5785958,0,0,0,0,139578.9,139578.9
India,Sikkim,"Calendar Year (Jan - Dec), 2019",2197.94,94269,38664,25547,66.07,972.68,1207.8,2180.48
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2018",297039.11,11734742,9282480,4878596,52.56,236694.5,51790.93,288485.43
India,Assam,"Calendar Year (Jan - Dec), 2019",135479.33,5716030,0,0,0,0,121613.29,121613.29
India,Uttarakhand,"Calendar Year (Jan - Dec), 2020",33454.8,1343486,799709,41,0.01,18938.46,2663.49,21601.95
India,Goa,"Calendar Year (Jan - Dec), 2019",2856.63,343864,110733,108928,98.37,2363.87,439.16,2803.03
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2019",332.7,14637,1083,0,0,15.96,0,15.96
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2018",154148.03,9455462,8802384,8802384,100,143367.43,2747.44,146114.87
India,Haryana,"Calendar Year (Jan - Dec), 2018",66250,2655622,2552761,2552761,100,42033.3,0,42033.3
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021",332.7,16838,12478,9960,79.82,221.96,0,221.96
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2019",297039.11,7936957,3277541,1759577,53.69,85462.22,82495.4,167957.62
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2020",38927.63261,1638210.795,22057.79034,92.92226876,0.42,505.0961091,35183.99981,35689.09592
India,Manipur,"Calendar Year (Jan - Dec), 2021",12461.24,536653,439388,310,0.07,8789.6,2614.17,11403.77
India,Telangana,"Calendar Year (Jan - Dec), 2019",108004.23,4979403,4517070,4517070,100,93942.84,1038.73,94981.58
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",9354.92,156698,109959,4341,3.95,5968.31,1851.99,7820.3
India,Nagaland,"Calendar Year (Jan - Dec), 2020",7632.11,285383,261010,96517,36.98,6539.62,0.23,6539.85
India,Odisha,"Calendar Year (Jan - Dec), 2021",179926.06,9243071,8714972,7667748,87.98,178515.06,0,178515.06
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",383766,15229825,11443813,7657807,66.92,277213.57,121347.51,398561.08
India,Gujarat,"Calendar Year (Jan - Dec), 2021",198288.02,7149172,6444062,5884801,91.32,169057.57,0,169057.57
India,Telangana,"Calendar Year (Jan - Dec), 2019",108004.23,5316737,5157209,5157209,100,102882.91,872.68,103755.59
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2021",115338,5118868,3055571,4176,0.14,77616.21,0,77616.21
India,Nagaland,"Calendar Year (Jan - Dec), 2019",7632.11,284934,0,0,0,0,7623.62,7623.62
India,Ladakh,"Calendar Year (Jan - Dec), 2020",870.4173886,36012.3752,31209.07611,23664.22158,75.82,732.7007689,4.475651807,737.176202
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2020",154148.03,8816876,14178288,14178288,100,138965.9,0,138965.9
India,Ladakh,"Calendar Year (Jan - Dec), 2021",870.4173886,34721.77603,30214.91451,22656.9156,74.99,704.424815,1.74901229,706.1738273
India,Goa,"Calendar Year (Jan - Dec), 2020",2856.63,142287,122370,119672,97.8,2590.36,230.09,2820.45
India,Nagaland,"Calendar Year (Jan - Dec), 2019",7632.11,284934,0,0,0,0,7632.11,7632.11
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2019",154148.03,7587181,8502597,8502597,100,136369.89,2940.85,139310.74
India,Bihar,"Calendar Year (Jan - Dec), 2019",457821.73,3785254,36655,35387,96.54,1119.93,435060.32,436180.25
India,Goa,"Calendar Year (Jan - Dec), 2018",2856.63,17949,11828,11828,100,252.88,2296.45,2549.32
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",383766,14457912,11817453,11817453,100,294507.5,36348.55,330856.05
India,Maharashtra,"Calendar Year (Jan - Dec), 2018",383766,14731081,10572085,10572085,100,265984.28,131379.5,397363.78
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2018",4677.46,125573,0,0,0,0,3285.07,3285.07
India,Odisha,"Calendar Year (Jan - Dec), 2020",179926.06,9323917,9293152,6856281,73.78,1506.74,440.42,1947.16
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2019",115338,5282966,5351144,518150,9.68,112261.98,1544.6,113806.58
India,Manipur,"Calendar Year (Jan - Dec), 2020",12461.24,588045,19895,19895,100,470.6,15207.01,15677.61
India,Manipur,"Calendar Year (Jan - Dec), 2018",12461.24,496965,0,0,0,0,11815.58,11815.58
India,Karnataka,"Calendar Year (Jan - Dec), 2021",217403,12185468,10206560,10206560,100,178594.8,513.2,179108
India,Gujarat,"Calendar Year (Jan - Dec), 2020",198288.02,7062631,6312916,5786221,91.66,166093.55,0,166093.55
India,Uttarakhand,"Calendar Year (Jan - Dec), 2018",33454.8,781497,127995,45397,35.47,2006.74,31712.3,33719.04
India,Assam,"Calendar Year (Jan - Dec), 2020",135479.33,5659294,0,0,0,0,136102.74,136102.74
India,Kerala,"Calendar Year (Jan - Dec), 2018",85459.89,3518391,3101365,2989650,96.4,80022.42,204.5,80226.92
India,Bihar,"Calendar Year (Jan - Dec), 2018",457821.73,24639,20572,11449,55.65,622.18,431041.37,431663.55
India,Sikkim,"Calendar Year (Jan - Dec), 2021",2197.94,91400,0,0,0,0,2148.44,2148.44
India,Sikkim,"Calendar Year (Jan - Dec), 2018",2197.94,150309,2849,2849,100,78.2,2026.13,2104.33
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",232631,10757958,9401901,9398829,99.97,223752.58,0,223752.58
India,Jharkhand,"Calendar Year (Jan - Dec), 2020",144959.47,5718246,5607502,0,0,138285.06,0,138285.06
India,Odisha,"Calendar Year (Jan - Dec), 2019",179926.06,8920120,9438104,6647686,70.43,172487.28,3338.61,175825.88
India,West Bengal,"Calendar Year (Jan - Dec), 2019",330516.44,56276556,0,0,0,0,329124.13,329124.13
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2019",16857.47,677566,631956,490599,77.63,14545.01,1428.02,15973.03
India,Gujarat,"Calendar Year (Jan - Dec), 2019",198288.02,6592355,6025357,5512090,91.48,158225.42,0,158225.42
India,Bihar,"Calendar Year (Jan - Dec), 2019",457821.73,16590565,4665322,4041608,86.63,76990.06,359074.59,436064.65
India,Jammu And Kashmir,"Calendar Year (Jan - Dec), 2017",38927.63261,36208.38468,12.71567888,0,0,0,0,0
India,Assam,"Calendar Year (Jan - Dec), 2019",135479.33,5294280,0,0,0,0,128020.63,128020.63
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2021",4677.46,156698,100733,3616,3.59,2725.59,1748.01,4473.6
India,Maharashtra,"Calendar Year (Jan - Dec), 2017",383766,14593852,10911779,3867350,35.44,3222.58,0,3222.58
