Country,State,Year,Food Grains Allocated (UOM:MT(Metrictonne)),Ration Cards Issued (UOM:Number),Transaction For Ration Cards (UOM:Number),Aadhaar Authenticated Transactions (UOM:Number),Aadhaar Authenticated Transactions (%) (UOM:%(Percentage)),Epos (Electronic Point Of Sale System) Distribution Of Food Grains (UOM:MT(Metrictonne)),Manual Distribution Of Food Grains (UOM:MT(Metrictonne)),Distribution Of Food Grains (UOM:MT(Metrictonne))
India,Haryana,"Calendar Year (Jan - Dec), 2021",66250,2695639,2367538,2367538,100,59010.5,0,59010.5
India,Tripura,"Calendar Year (Jan - Dec), 2020",13761.1,578321,704171,696990,98.98,13167.86,0,13167.86
India,Rajasthan,"Calendar Year (Jan - Dec), 2019",232631,10833603,9484240,9481616,99.97,225672.55,0,225672.55
India,Nagaland,"Calendar Year (Jan - Dec), 2018",7632.11,284934,0,0,0,0,7632.11,7632.11
India,Sikkim,"Calendar Year (Jan - Dec), 2018",2197.94,96141,19328,19328,100,486.29,1951.6,2437.89
India,Odisha,"Calendar Year (Jan - Dec), 2018",179926.06,8644554,8601597,5298610,61.6,172528.69,6547.75,179076.44
India,Mizoram,"Calendar Year (Jan - Dec), 2019",3827.96,146986,0,0,0,0,4397.41,4397.41
India,Bihar,"Calendar Year (Jan - Dec), 2018",457821.73,24493,17300,9733,56.26,31.73,380584.79,380616.52
India,Nagaland,"Calendar Year (Jan - Dec), 2021",7632.11,296171,252768,48500,19.19,5277.38,0,5277.38
India,Assam,"Calendar Year (Jan - Dec), 2019",135479.33,5785492,0,0,0,0,138821.94,138821.94
India,Andaman And Nicobar Islands,"Calendar Year (Jan - Dec), 2021",332.7,16808,15423,12648,82.01,296.07,0,296.07
India,Jharkhand,"Calendar Year (Jan - Dec), 2018",144959.47,5666349,4171509,3815937,91.48,113177.56,0,113177.56
India,Rajasthan,"Calendar Year (Jan - Dec), 2020",232631,11154766,9551245,9516870,99.64,227625.37,0,227625.37
India,Manipur,"Calendar Year (Jan - Dec), 2020",12461.24,602139,458917,436,0.1,10519.24,3666.89,14186.13
India,Punjab,"Calendar Year (Jan - Dec), 2018",72510,503714,144687,144687,100,17647.54,98773.62,116421.16
India,Kerala,"Calendar Year (Jan - Dec), 2019",85459.89,3689154,4152035,3970715,95.63,82329.56,93.33,82422.89
